"","word","sum","wordnum"
"1","｜",29,1
"2","乙",28,1
"3","二",19,1
"4","入",34,1
"5","力",29,1
"6","三",27,1
"7","士",21,1
"8","子",29,1
"9","山",25,1
"10","工",106,1
"11","中",155,1
"12","什",25,1
"13","內",27,1
"14","公",24,1
"15","分",66,1
"16","化",22,1
"17","友",34,1
"18","天",21,1
"19","太",37,1
"20","少",23,1
"21","心",30,1
"22","文",67,1
"23","方",57,1
"24","日",30,1
"25","月",27,1
"26","主",15,1
"27","代",42,1
"28","出",30,1
"29","北",33,1
"30","古",14,1
"31","台",87,1
"32","四",32,1
"33","外",31,1
"34","央",38,1
"35","未",36,1
"36","正",61,1
"37","生",77,1
"38","甲",20,1
"39","目",108,1
"40","立",17,1
"41","交",58,1
"42","份",15,1
"43","先",28,1
"44","光",15,1
"45","全",20,1
"46","合",14,1
"47","名",68,1
"48","回",20,1
"49","年",104,1
"50","式",19,1
"51","成",74,1
"52","老",73,1
"53","考",196,1
"54","行",22,1
"55","位",151,1
"56","作",41,1
"57","別",23,1
"58","否",22,1
"59","完",14,1
"60","希",46,1
"61","弟",62,1
"62","找",72,1
"63","更",15,1
"64","材",22,1
"65","沒",115,1
"66","究",80,1
"67","系",91,1
"68","見",30,1
"69","身",20,1
"70","來",72,1
"71","兩",43,1
"72","取",72,1
"73","始",20,1
"74","姐",24,1
"75","定",36,1
"76","念",14,1
"77","性",20,1
"78","放",27,1
"79","於",41,1
"80","明",40,1
"81","朋",20,1
"82","東",20,1
"83","板",25,1
"84","林",14,1
"85","果",33,1
"86","治",18,1
"87","況",19,1
"88","法",30,1
"89","版",31,1
"90","物",17,1
"91","狀",14,1
"92","直",15,1
"93","知",70,1
"94","社",16,1
"95","表",19,1
"96","近",21,1
"97","金",29,1
"98","長",45,1
"99","非",19,1
"100","信",33,1
"101","前",142,1
"102","室",26,1
"103","建",24,1
"104","後",56,1
"105","指",17,1
"106","政",42,1
"107","為",72,1
"108","相",46,1
"109","研",105,1
"110","科",112,1
"111","英",15,1
"112","計",58,1
"113","重",15,1
"114","面",51,1
"115","風",16,1
"116","修",40,1
"117","個",109,1
"118","們",43,1
"119","原",16,1
"120","家",92,1
"121","差",19,1
"122","師",100,1
"123","料",35,1
"124","時",66,1
"125","書",40,1
"126","校",59,1
"127","格",16,1
"128","氣",18,1
"129","班",46,1
"130","益",146,1
"131","真",16,1
"132","祝",14,1
"133","站",15,1
"134","訊",36,1
"135","財",25,1
"136","高",45,1
"137","做",44,1
"138","動",16,1
"139","問",221,1
"140","國",47,1
"141","域",17,1
"142","夠",14,1
"143","專",30,1
"144","常",14,1
"145","授",178,1
"146","排",14,1
"147","接",19,1
"148","推",103,1
"149","教",230,1
"150","械",14,1
"151","清",19,1
"152","現",38,1
"153","理",50,1
"154","畢",60,1
"155","組",102,1
"156","統",39,1
"157","習",15,1
"158","設",20,1
"159","這",128,1
"160","通",21,1
"161","部",37,1
"162","陳",19,1
"163","備",100,1
"164","單",26,1
"165","報",85,1
"166","幾",35,1
"167","期",17,1
"168","無",15,1
"169","然",35,1
"170","發",35,1
"171","程",60,1
"172","答",17,1
"173","結",14,1
"174","給",35,1
"175","進",21,1
"176","開",31,1
"177","間",66,1
"178","傳",16,1
"179","嗎",79,1
"180","想",203,1
"181","意",36,1
"182","感",51,1
"183","會",132,1
"184","業",77,1
"185","概",27,1
"186","源",16,1
"187","準",46,1
"188","當",18,1
"189","經",52,1
"190","補",17,1
"191","裡",18,1
"192","解",34,1
"193","詢",16,1
"194","試",89,1
"195","話",31,1
"196","該",55,1
"197","資",130,1
"198","路",24,1
"199","較",80,1
"200","過",76,1
"201","道",56,1
"202","電",77,1
"203","實",52,1
"204","對",49,1
"205","榜",20,1
"206","滿",20,1
"207","甄",42,1
"208","碩",29,1
"209","算",29,1
"210","網",36,1
"211","與",30,1
"212","認",16,1
"213","說",75,1
"214","輔",14,1
"215","際",15,1
"216","領",17,1
"217","麼",61,1
"218","寫",27,1
"219","慮",21,1
"220","數",25,1
"221","樣",41,1
"222","確",15,1
"223","線",19,1
"224","課",56,1
"225","請",314,1
"226","論",32,1
"227","趣",33,1
"228","輩",30,1
"229","學",328,1
"230","導",14,1
"231","擇",34,1
"232","機",78,1
"233","興",48,1
"234","辦",16,1
"235","選",68,1
"236","錄",16,1
"237","錯",14,1
"238","幫",25,1
"239","應",50,1
"240","環",15,1
"241","績",21,1
"242","薦",50,1
"243","謝",133,1
"244","還",97,1
"245","雖",17,1
"246","點",55,1
"247","簡",14,1
"248","職",28,1
"249","醫",19,1
"250","題",96,1
"251","藥",16,1
"252","邊",16,1
"253","關",66,1
"254","類",19,1
"255","覺",19,1
"256","議",20,1
"257","聽",14,1
"258","讀",37,1
"259","驗",47,1
"260","體",19,1
"261","一下",40,2
"262","一個",18,2
"263","乙組",14,2
"264","入學",22,2
"265","上的",19,2
"266","也有",16,2
"267","大大",46,2
"268","大的",15,2
"269","大們",14,2
"270","大概",19,2
"271","大電",16,2
"272","大學",50,2
"273","小弟",60,2
"274","工作",27,2
"275","工所",21,2
"276","已經",19,2
"277","不太",16,2
"278","不知",34,2
"279","不會",21,2
"280","不過",15,2
"281","中山",25,2
"282","中央",38,2
"283","中興",14,2
"284","什麼",25,2
"285","今年",28,2
"286","方向",21,2
"287","方面",15,2
"288","比較",62,2
"289","以下",16,2
"290","北科",17,2
"291","可能",24,2
"292","台大",40,2
"293","台科",15,2
"294","未來",21,2
"295","正取",20,2
"296","目前",87,2
"297","交大",37,2
"298","同學",18,2
"299","因為",46,2
"300","在職",22,2
"301","好像",28,2
"302","成大",32,2
"303","成績",21,2
"304","有人",16,2
"305","有沒",27,2
"306","有興",21,2
"307","有點",14,2
"308","老師",69,2
"309","考試",53,2
"310","考慮",20,2
"311","位大",28,2
"312","位前",14,2
"313","希望",46,2
"314","找教",23,2
"315","沒有",68,2
"316","究所",43,2
"317","系統",20,2
"318","所的",22,2
"319","朋友",20,2
"320","板上",16,2
"321","版上",22,2
"322","的教",33,2
"323","的話",25,2
"324","的學",31,2
"325","知道",56,2
"326","長姐",22,2
"327","前輩",26,2
"328","建議",20,2
"329","很多",19,2
"330","怎麼",21,2
"331","政大",17,2
"332","政治",18,2
"333","是不",18,2
"334","是否",18,2
"335","相關",34,2
"336","研究",80,2
"337","研所",16,2
"338","科系",14,2
"339","家好",20,2
"340","師大",15,2
"341","時間",22,2
"342","財金",18,2
"343","問一",15,2
"344","問各",23,2
"345","問有",15,2
"346","問問",17,2
"347","問題",37,2
"348","專題",14,2
"349","授的",14,2
"350","推甄",31,2
"351","推薦",50,2
"352","教授",176,2
"353","現在",26,2
"354","畢業",48,2
"355","第一",17,2
"356","統計",18,2
"357","設計",18,2
"358","這樣",29,2
"359","通訊",15,2
"360","部分",19,2
"361","都是",17,2
"362","備上",21,2
"363","備取",30,2
"364","報名",35,2
"365","報考",20,2
"366","開始",19,2
"367","想要",14,2
"368","想問",16,2
"369","想請",73,2
"370","意見",23,2
"371","感謝",24,2
"372","會不",14,2
"373","準備",31,2
"374","經驗",21,2
"375","資工",23,2
"376","資料",22,2
"377","資訊",16,2
"378","資源",15,2
"379","資管",27,2
"380","較推",14,2
"381","電子",21,2
"382","電機",18,2
"383","實驗",26,2
"384","碩士",15,2
"385","管所",15,2
"386","領域",16,2
"387","課程",21,2
"388","請益",144,2
"389","請問",101,2
"390","請教",29,2
"391","學生",15,2
"392","學長",34,2
"393","學校",40,2
"394","機械",14,2
"395","機會",19,2
"396","興趣",32,2
"397","選擇",25,2
"398","錄取",14,2
"399","應該",25,2
"400","薦的",22,2
"401","謝大",16,2
"402","謝謝",53,2
"403","還是",47,2
"404","雖然",16,2
"405","驗室",23,2
"406","大大們",14,3
"407","大家好",20,3
"408","不知道",30,3
"409","各位大",28,3
"410","有沒有",27,3
"411","有興趣",21,3
"412","位大大",27,3
"413","位前輩",14,3
"414","找教授",22,3
"415","的教授",33,3
"416","是不是",14,3
"417","研究所",43,3
"418","問一下",14,3
"419","問各位",22,3
"420","推薦的",22,3
"421","教授的",14,3
"422","想請問",52,3
"423","想請教",17,3
"424","資工所",16,3
"425","實驗室",23,3
"426","請問各",18,3
"427","請問有",14,3
"428","學長姐",22,3
"429","謝大家",14,3
"430","各位大大",27,4
"431","請問各位",18,4
